PointInTimeDt,Pos #,FTE,ClsInd,JobCd,Job Title,Union,Dept ID,Department,Dept,DeptType,Network,Network2,Zipcode,Type,Special Ed,Bilingual,Science,Math,Arts,Early Childhood,Physical Ed,Counselor,Clinician,Library,World Language,JobProfileDesc
8/21/2024,606389,1,Tchr,49,Regular Teacher,CTU,25331,Arnold Mireles Academy,Mireles,School-Based,Network 12,Network 12,60617,ArtsWorldLang,,,,,Arts,,,,,,WorldLang,K-8 REG Fine Arts
8/21/2024,624874,1,Tchr,500629,Special Education Teacher,CTU,25331,Arnold Mireles Academy,Mireles,School-Based,Network 12,Network 12,60617,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,624875,1,Tchr,500629,Special Education Teacher,CTU,25331,Arnold Mireles Academy,Mireles,School-Based,Network 12,Network 12,60617,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,624876,1,Tchr,500629,Special Education Teacher,CTU,25331,Arnold Mireles Academy,Mireles,School-Based,Network 12,Network 12,60617,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,543049,1,Tchr,49,Regular Teacher,CTU,25331,Arnold Mireles Academy,Mireles,School-Based,Network 12,Network 12,60617,,,,,,,,,,,,,6-8 REG Reading
8/21/2024,619680,1,Tchr,49,Regular Teacher,CTU,25331,Arnold Mireles Academy,Mireles,School-Based,Network 12,Network 12,60617,Math,,,,Math,,,,,,,,6-8 REG Math
8/21/2024,619386,1,Tchr,49,Regular Teacher,CTU,25341,William T Sherman Sch of Excel,Sherman,School-Based,Network 08,Network 08,60609,,,,,,,,,,,,,K-8 REG Computer Ed
8/21/2024,246554,1,Tchr,49,Regular Teacher,CTU,25341,William T Sherman Sch of Excel,Sherman,School-Based,Network 08,Network 08,60609,,,,,,,,,,,,,4-5 REG Gen Ed
8/21/2024,619806,1,ESP,3015,Youth Intervention Specialist,CTU,25341,William T Sherman Sch of Excel,Sherman,School-Based,Network 08,Network 08,60609,,,,,,,,,,,,,
8/21/2024,619928,1,Tchr,49,Regular Teacher,CTU,25351,Jesse Sherwood School,Sherwood,School-Based,ISP,ISP,60621,,,,,,,,,,,,,PreK-3 REG Gen Ed
8/21/2024,674086,1,ESP,463,Teacher Assistant,CTU,25351,Jesse Sherwood School,Sherwood,School-Based,ISP,ISP,60621,Spec Ed,Spec Ed,,,,,,,,,,,
8/21/2024,615220,0.5,Tchr,600063,Case Manager,CTU,25351,Jesse Sherwood School,Sherwood,School-Based,ISP,ISP,60621,,,,,,,,,,,,,
